"original_name","unique_id"
"Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;","Seq_59"
"Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;","Seq_60"
"Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;","Seq_61"
"Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerobutyricum;","Seq_62"
"Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;","Seq_63"
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Actibacter;","Seq_64"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;","Seq_65"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;","Seq_66"
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;","Seq_67"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Salinivirgaceae;","Seq_68"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;","Seq_69"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;","Seq_70"
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;","Seq_71"
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;","Seq_72"
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;","Seq_73"
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;","Seq_74"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;","Seq_75"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;","Seq_76"
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;","Seq_77"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;","Seq_78"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;","Seq_79"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Candidatus Symbiothrix;","Seq_80"
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;","Seq_81"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;","Seq_82"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;","Seq_83"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;","Seq_84"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;S25-593;","Seq_85"
"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Planktotalea;","Seq_86"
